interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Organic Chemistry,chemistry,beginner,advanced,Hindi,Organic Chemistry beginner Hindi
Ruby,programming,advanced,basic,English,Ruby advanced English
Modern History,history,intermediate,basic,Hindi,Modern History intermediate Hindi
Data Mining,data science,advanced,intermediate,Hindi,Data Mining advanced Hindi
Ancient History,history,beginner,none,English,Ancient History beginner English
Poetry,literature,beginner,none,English,Poetry beginner English
Algebra,math,advanced,advanced,Hindi,Algebra advanced Hindi
Modern History,history,advanced,none,English,Modern History advanced English
Number Theory,math,beginner,none,English,Number Theory beginner English
Mechanics,physics,advanced,advanced,English,Mechanics advanced English
Organic Chemistry,chemistry,advanced,basic,Hindi,Organic Chemistry advanced Hindi
Physical Chemistry,chemistry,beginner,advanced,English,Physical Chemistry beginner English
Data Visualization,data science,beginner,advanced,English,Data Visualization beginner English
Ancient History,history,beginner,advanced,Hindi,Ancient History beginner Hindi
Data Analysis,data science,beginner,advanced,Hindi,Data Analysis beginner Hindi
Modern History,history,intermediate,basic,English,Modern History intermediate English
Probability and Statistics,math,intermediate,intermediate,English,Probability and Statistics intermediate English
Analytical Chemistry,chemistry,intermediate,advanced,Hindi,Analytical Chemistry intermediate Hindi
Thermodynamics,physics,advanced,basic,Hindi,Thermodynamics advanced Hindi
Organic Chemistry,chemistry,beginner,none,Hindi,Organic Chemistry beginner Hindi
Electricity and Magnetism,physics,beginner,basic,English,Electricity and Magnetism beginner English
Algebra,math,intermediate,basic,Hindi,Algebra intermediate Hindi
Inorganic Chemistry,chemistry,intermediate,advanced,Hindi,Inorganic Chemistry intermediate Hindi
World Literature,literature,intermediate,none,Hindi,World Literature intermediate Hindi
R,programming,intermediate,intermediate,Hindi,R intermediate Hindi
Java,programming,advanced,intermediate,English,Java advanced English
English Literature,literature,advanced,advanced,Hindi,English Literature advanced Hindi
World Wars,history,intermediate,none,Hindi,World Wars intermediate Hindi
Number Theory,math,advanced,intermediate,English,Number Theory advanced English
JavaScript,programming,advanced,advanced,Hindi,JavaScript advanced Hindi
World Literature,literature,beginner,intermediate,Hindi,World Literature beginner Hindi
World Wars,history,advanced,basic,English,World Wars advanced English
World Literature,literature,beginner,intermediate,Hindi,World Literature beginner Hindi
Data Mining,data science,intermediate,intermediate,English,Data Mining intermediate English
Go,programming,beginner,none,Hindi,Go beginner Hindi
Inorganic Chemistry,chemistry,beginner,basic,English,Inorganic Chemistry beginner English
English Literature,literature,beginner,advanced,English,English Literature beginner English
Ancient History,history,intermediate,none,Hindi,Ancient History intermediate Hindi
Data Visualization,data science,advanced,intermediate,English,Data Visualization advanced English
Number Theory,math,intermediate,none,Hindi,Number Theory intermediate Hindi
Data Mining,data science,advanced,advanced,Hindi,Data Mining advanced Hindi
Deep Learning,machine learning,intermediate,advanced,English,Deep Learning intermediate English
Ruby,programming,intermediate,intermediate,Hindi,Ruby intermediate Hindi
Deep Learning,machine learning,advanced,intermediate,Hindi,Deep Learning advanced Hindi
American Literature,literature,beginner,none,Hindi,American Literature beginner Hindi
Probability and Statistics,math,intermediate,basic,English,Probability and Statistics intermediate English
Ruby,programming,advanced,advanced,Hindi,Ruby advanced Hindi
Ruby,programming,advanced,basic,English,Ruby advanced English
Big Data,data science,beginner,none,English,Big Data beginner English
Natural Language Processing,machine learning,advanced,intermediate,Hindi,Natural Language Processing advanced Hindi
Ancient History,history,beginner,none,English,Ancient History beginner English
Algebra,math,intermediate,none,Hindi,Algebra intermediate Hindi
Medieval History,history,intermediate,advanced,English,Medieval History intermediate English
R,programming,beginner,advanced,Hindi,R beginner Hindi
Ruby,programming,intermediate,none,English,Ruby intermediate English
Python,programming,advanced,basic,Hindi,Python advanced Hindi
Number Theory,math,advanced,intermediate,Hindi,Number Theory advanced Hindi
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Calculus,math,advanced,advanced,English,Calculus advanced English
Big Data,data science,beginner,advanced,English,Big Data beginner English
R,programming,advanced,none,Hindi,R advanced Hindi
Inorganic Chemistry,chemistry,intermediate,basic,English,Inorganic Chemistry intermediate English
Modern History,history,advanced,none,English,Modern History advanced English
Physical Chemistry,chemistry,intermediate,advanced,English,Physical Chemistry intermediate English
Ruby,programming,advanced,intermediate,English,Ruby advanced English
Computer Vision,machine learning,intermediate,advanced,English,Computer Vision intermediate English
Thermodynamics,physics,intermediate,intermediate,English,Thermodynamics intermediate English
Electricity and Magnetism,physics,beginner,none,Hindi,Electricity and Magnetism beginner Hindi
Go,programming,intermediate,advanced,Hindi,Go intermediate Hindi
World Literature,literature,intermediate,intermediate,English,World Literature intermediate English
C++,programming,advanced,none,Hindi,C++ advanced Hindi
Big Data,data science,beginner,advanced,English,Big Data beginner English
Inorganic Chemistry,chemistry,advanced,intermediate,Hindi,Inorganic Chemistry advanced Hindi
Data Visualization,data science,intermediate,basic,English,Data Visualization intermediate English
Mechanics,physics,advanced,basic,English,Mechanics advanced English
Big Data,data science,advanced,advanced,Hindi,Big Data advanced Hindi
PHP,programming,advanced,basic,Hindi,PHP advanced Hindi
Medieval History,history,advanced,basic,English,Medieval History advanced English
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Data Mining,data science,intermediate,advanced,English,Data Mining intermediate English
Modern History,history,beginner,intermediate,English,Modern History beginner English
Thermodynamics,physics,intermediate,intermediate,Hindi,Thermodynamics intermediate Hindi
Organic Chemistry,chemistry,beginner,intermediate,English,Organic Chemistry beginner English
Modern History,history,beginner,basic,English,Modern History beginner English
Electricity and Magnetism,physics,intermediate,intermediate,English,Electricity and Magnetism intermediate English
Data Visualization,data science,intermediate,intermediate,English,Data Visualization intermediate English
Mechanics,physics,intermediate,intermediate,Hindi,Mechanics intermediate Hindi
Optics,physics,advanced,basic,English,Optics advanced English
Big Data,data science,advanced,basic,Hindi,Big Data advanced Hindi
Computer Vision,machine learning,intermediate,advanced,Hindi,Computer Vision intermediate Hindi
Data Visualization,data science,intermediate,none,Hindi,Data Visualization intermediate Hindi
Swift,programming,intermediate,advanced,Hindi,Swift intermediate Hindi
Drama,literature,advanced,advanced,English,Drama advanced English
Indian History,history,beginner,basic,Hindi,Indian History beginner Hindi
Thermodynamics,physics,intermediate,advanced,English,Thermodynamics intermediate English
Inorganic Chemistry,chemistry,advanced,basic,English,Inorganic Chemistry advanced English
Ruby,programming,advanced,none,Hindi,Ruby advanced Hindi
Computer Vision,machine learning,beginner,advanced,Hindi,Computer Vision beginner Hindi
Ancient History,history,intermediate,intermediate,Hindi,Ancient History intermediate Hindi
Physical Chemistry,chemistry,beginner,basic,English,Physical Chemistry beginner English
Data Analysis,data science,beginner,basic,Hindi,Data Analysis beginner Hindi
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Big Data,data science,advanced,none,English,Big Data advanced English
World Wars,history,beginner,intermediate,Hindi,World Wars beginner Hindi
Natural Language Processing,machine learning,advanced,advanced,Hindi,Natural Language Processing advanced Hindi
Data Analysis,data science,beginner,basic,Hindi,Data Analysis beginner Hindi
Ruby,programming,intermediate,none,Hindi,Ruby intermediate Hindi
PHP,programming,beginner,none,Hindi,PHP beginner Hindi
Probability and Statistics,math,advanced,intermediate,English,Probability and Statistics advanced English
Data Analysis,data science,intermediate,intermediate,Hindi,Data Analysis intermediate Hindi
Deep Learning,machine learning,intermediate,advanced,Hindi,Deep Learning intermediate Hindi
World Literature,literature,intermediate,advanced,English,World Literature intermediate English
Swift,programming,intermediate,advanced,English,Swift intermediate English
JavaScript,programming,advanced,intermediate,English,JavaScript advanced English
Indian History,history,advanced,none,English,Indian History advanced English
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Python,programming,intermediate,advanced,Hindi,Python intermediate Hindi
Optics,physics,advanced,advanced,English,Optics advanced English
Optics,physics,advanced,intermediate,English,Optics advanced English
World Wars,history,advanced,basic,Hindi,World Wars advanced Hindi
R,programming,beginner,advanced,English,R beginner English
Big Data,data science,advanced,intermediate,Hindi,Big Data advanced Hindi
Optics,physics,advanced,none,Hindi,Optics advanced Hindi
Ruby,programming,advanced,basic,Hindi,Ruby advanced Hindi
Computer Vision,machine learning,intermediate,intermediate,English,Computer Vision intermediate English
American Literature,literature,beginner,none,Hindi,American Literature beginner Hindi
